dt,weekday,hr,accessinfo,action,cardtype,cardfrom,docsubtype,sdkversion,cardside,transactions
01/01/24,Monday,0,CAPTURE,VALID,,,,2.13.0-b02,,228
01/01/24,Monday,8,CAPTURE,VALID,,,,2.13.0-b02,,119
01/01/24,Monday,16,CAPTURE,VALID,,,,2.13.0-b02,,64
02/01/24,Tuesday,0,CAPTURE,VALID,,,,2.13.0-b02,,228
02/01/24,Tuesday,8,CAPTURE,VALID,,,,2.13.0-b02,,277
02/01/24,Tuesday,17,CAPTURE,VALID,,,,2.13.0-b02,,184
03/01/24,Wednesday,1,CAPTURE,VALID,,,,2.13.0-b02,,630
03/01/24,Wednesday,8,CAPTURE,VALID,,,,2.13.0-b02,,387
03/01/24,Wednesday,17,CAPTURE,VALID,,,,2.13.0-b02,,243
04/01/24,Thursday,1,CAPTURE,VALID,,,,2.13.0-b02,,515
04/01/24,Thursday,8,CAPTURE,VALID,,,,2.13.0-b02,,366
04/01/24,Thursday,17,CAPTURE,VALID,,,,2.13.0-b02,,225
05/01/24,Friday,1,CAPTURE,VALID,,,,2.13.0-b02,,577
05/01/24,Friday,8,CAPTURE,VALID,,,,2.13.0-b02,,323
05/01/24,Friday,18,CAPTURE,VALID,,,,2.13.0-b02,,233
06/01/24,Saturday,1,CAPTURE,VALID,,,,2.13.0-b02,,413
06/01/24,Saturday,8,CAPTURE,VALID,,,,2.13.0-b02,,230
06/01/24,Saturday,17,CAPTURE,VALID,,,,2.13.0-b02,,175
07/01/24,Sunday,0,CAPTURE,VALID,,,,2.13.0-b02,,310
07/01/24,Sunday,8,CAPTURE,VALID,,,,2.13.0-b02,,225
07/01/24,Sunday,16,CAPTURE,VALID,,,,2.13.0-b02,,95
08/01/24,Monday,0,CAPTURE,VALID,,,,2.13.0-b02,,291
08/01/24,Monday,8,CAPTURE,VALID,,,,2.13.0-b02,,256
08/01/24,Monday,17,CAPTURE,VALID,,,,2.13.0-b02,,192
09/01/24,Tuesday,1,CAPTURE,VALID,,,,2.13.0-b02,,475
09/01/24,Tuesday,8,CAPTURE,VALID,,,,2.13.0-b02,,315
09/01/24,Tuesday,18,CAPTURE,VALID,,,,2.13.0-b02,,270
10/01/24,Wednesday,1,CAPTURE,VALID,,,,2.13.0-b02,,388
10/01/24,Wednesday,8,CAPTURE,VALID,,,,2.13.0-b02,,288
10/01/24,Wednesday,18,CAPTURE,VALID,,,,2.13.0-b02,,207
11/01/24,Thursday,1,CAPTURE,VALID,,,,2.13.0-b02,,562
11/01/24,Thursday,8,CAPTURE,VALID,,,,2.13.0-b02,,334
11/01/24,Thursday,17,CAPTURE,VALID,,,,2.13.0-b02,,237
12/01/24,Friday,1,CAPTURE,VALID,,,,2.13.0-b02,,525
12/01/24,Friday,8,CAPTURE,VALID,,,,2.13.0-b02,,292
12/01/24,Friday,18,CAPTURE,VALID,,,,2.13.0-b02,,251
13/01/24,Saturday,1,CAPTURE,VALID,,,,2.13.0-b02,,440
13/01/24,Saturday,8,CAPTURE,VALID,,,,2.13.0-b02,,211
13/01/24,Saturday,17,CAPTURE,VALID,,,,2.13.0-b02,,138
14/01/24,Sunday,0,CAPTURE,VALID,,,,2.13.0-b02,,421
14/01/24,Sunday,8,CAPTURE,VALID,,,,2.13.0-b02,,239
14/01/24,Sunday,16,CAPTURE,VALID,,,,2.13.0-b02,,106
15/01/24,Monday,0,CAPTURE,VALID,,,,2.13.0-b02,,360
15/01/24,Monday,8,CAPTURE,VALID,,,,2.13.0-b02,,291
15/01/24,Monday,17,CAPTURE,VALID,,,,2.13.0-b02,,206
16/01/24,Tuesday,1,CAPTURE,VALID,,,,2.13.0-b02,,591
16/01/24,Tuesday,8,CAPTURE,VALID,,,,2.13.0-b02,,207
16/01/24,Tuesday,18,CAPTURE,VALID,,,,2.13.0-b02,,166
17/01/24,Wednesday,1,CAPTURE,VALID,,,,2.13.0-b02,,447
17/01/24,Wednesday,8,CAPTURE,VALID,,,,2.13.0-b02,,285
17/01/24,Wednesday,17,CAPTURE,VALID,,,,2.13.0-b02,,238
18/01/24,Thursday,1,CAPTURE,VALID,,,,2.13.0-b02,,506
18/01/24,Thursday,8,CAPTURE,VALID,,,,2.13.0-b02,,254
