TransactionId,LicenseId,Action,Hash,Package,MobileModel,MobileManufacturer,UniqueDeviceId,TransactionTimeinEPOCH,TransactionTimeinUTC,CreatedAtUTC,CardType,SdkVersion,TransactionType,DocSubType,CardSide,CardFrom
OCR170421388996c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704213889349,"2024-01-02 16:44:49","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170421943396c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704219433494,"2024-01-02 18:17:13","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170421951396c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704219513445,"2024-01-02 18:18:33","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170422084296c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704220842604,"2024-01-02 18:40:42","2024-01-05 07:00 PM",POA_TELMEX,2.12.6,VALID,,,
OCR170422097896c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704220978144,"2024-01-02 18:42:58","2024-01-05 07:00 PM",POA_TELMEX,2.12.6,VALID,,,
OCR170422118396c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704221183338,"2024-01-02 18:46:23","2024-01-05 07:00 PM",POA_TELMEX,2.12.6,VALID,,,
OCR170429981096c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704299810426,"2024-01-03 16:36:50","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170429988896c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704299888451,"2024-01-03 16:38:08","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170430112496c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704301124487,"2024-01-03 16:58:44","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170430116296c1f72b17d447fc,2012,CAPTURE,8FA9FD6F46E93E6944B9D958B8D4371B690E5EC6,mx.bancosantander.supermovil,sdk_gphone64_arm64,Google,96c1f72b17d447fc,1704301162809,"2024-01-03 16:59:22","2024-01-05 07:00 PM",MEX_NATIONAL_ID,2.12.6,VALID,,,
